date_key,year,quarter,month,month_name,day_of_month,day_of_week,day_name,week_of_year,is_weekend
2015-01-01,2015,1,1,January,1,3,Thursday,1,False
2015-01-02,2015,1,1,January,2,4,Friday,1,False
2015-01-03,2015,1,1,January,3,5,Saturday,1,True
2015-01-04,2015,1,1,January,4,6,Sunday,1,True
2015-01-05,2015,1,1,January,5,0,Monday,2,False
2015-01-06,2015,1,1,January,6,1,Tuesday,2,False
2015-01-07,2015,1,1,January,7,2,Wednesday,2,False
2015-01-08,2015,1,1,January,8,3,Thursday,2,False
2015-01-09,2015,1,1,January,9,4,Friday,2,False
2015-01-10,2015,1,1,January,10,5,Saturday,2,True
2015-01-11,2015,1,1,January,11,6,Sunday,2,True
2015-01-12,2015,1,1,January,12,0,Monday,3,False
2015-01-13,2015,1,1,January,13,1,Tuesday,3,False
2015-01-14,2015,1,1,January,14,2,Wednesday,3,False
2015-01-15,2015,1,1,January,15,3,Thursday,3,False
2015-01-16,2015,1,1,January,16,4,Friday,3,False
2015-01-17,2015,1,1,January,17,5,Saturday,3,True
2015-01-18,2015,1,1,January,18,6,Sunday,3,True
2015-01-19,2015,1,1,January,19,0,Monday,4,False
2015-01-20,2015,1,1,January,20,1,Tuesday,4,False
2015-01-21,2015,1,1,January,21,2,Wednesday,4,False
2015-01-22,2015,1,1,January,22,3,Thursday,4,False
2015-01-23,2015,1,1,January,23,4,Friday,4,False
2015-01-24,2015,1,1,January,24,5,Saturday,4,True
2015-01-25,2015,1,1,January,25,6,Sunday,4,True
2015-01-26,2015,1,1,January,26,0,Monday,5,False
2015-01-27,2015,1,1,January,27,1,Tuesday,5,False
2015-01-28,2015,1,1,January,28,2,Wednesday,5,False
2015-01-29,2015,1,1,January,29,3,Thursday,5,False
2015-01-30,2015,1,1,January,30,4,Friday,5,False
2015-01-31,2015,1,1,January,31,5,Saturday,5,True
2015-02-01,2015,1,2,February,1,6,Sunday,5,True
2015-02-02,2015,1,2,February,2,0,Monday,6,False
2015-02-03,2015,1,2,February,3,1,Tuesday,6,False
2015-02-04,2015,1,2,February,4,2,Wednesday,6,False
2015-02-05,2015,1,2,February,5,3,Thursday,6,False
2015-02-06,2015,1,2,February,6,4,Friday,6,False
2015-02-07,2015,1,2,February,7,5,Saturday,6,True
2015-02-08,2015,1,2,February,8,6,Sunday,6,True
2015-02-09,2015,1,2,February,9,0,Monday,7,False
2015-02-10,2015,1,2,February,10,1,Tuesday,7,False
2015-02-11,2015,1,2,February,11,2,Wednesday,7,False
2015-02-12,2015,1,2,February,12,3,Thursday,7,False
2015-02-13,2015,1,2,February,13,4,Friday,7,False
2015-02-14,2015,1,2,February,14,5,Saturday,7,True
2015-02-15,2015,1,2,February,15,6,Sunday,7,True
2015-02-16,2015,1,2,February,16,0,Monday,8,False
2015-02-17,2015,1,2,February,17,1,Tuesday,8,False
2015-02-18,2015,1,2,February,18,2,Wednesday,8,False
2015-02-19,2015,1,2,February,19,3,Thursday,8,False
2015-02-20,2015,1,2,February,20,4,Friday,8,False
2015-02-21,2015,1,2,February,21,5,Saturday,8,True
2015-02-22,2015,1,2,February,22,6,Sunday,8,True
2015-02-23,2015,1,2,February,23,0,Monday,9,False
2015-02-24,2015,1,2,February,24,1,Tuesday,9,False
2015-02-25,2015,1,2,February,25,2,Wednesday,9,False
2015-02-26,2015,1,2,February,26,3,Thursday,9,False
2015-02-27,2015,1,2,February,27,4,Friday,9,False
2015-02-28,2015,1,2,February,28,5,Saturday,9,True
2015-03-01,2015,1,3,March,1,6,Sunday,9,True
2015-03-02,2015,1,3,March,2,0,Monday,10,False
2015-03-03,2015,1,3,March,3,1,Tuesday,10,False
2015-03-04,2015,1,3,March,4,2,Wednesday,10,False
2015-03-05,2015,1,3,March,5,3,Thursday,10,False
2015-03-06,2015,1,3,March,6,4,Friday,10,False
2015-03-07,2015,1,3,March,7,5,Saturday,10,True
2015-03-08,2015,1,3,March,8,6,Sunday,10,True
2015-03-09,2015,1,3,March,9,0,Monday,11,False
2015-03-10,2015,1,3,March,10,1,Tuesday,11,False
2015-03-11,2015,1,3,March,11,2,Wednesday,11,False
2015-03-12,2015,1,3,March,12,3,Thursday,11,False
2015-03-13,2015,1,3,March,13,4,Friday,11,False
2015-03-14,2015,1,3,March,14,5,Saturday,11,True
2015-03-15,2015,1,3,March,15,6,Sunday,11,True
2015-03-16,2015,1,3,March,16,0,Monday,12,False
2015-03-17,2015,1,3,March,17,1,Tuesday,12,False
2015-03-18,2015,1,3,March,18,2,Wednesday,12,False
2015-03-19,2015,1,3,March,19,3,Thursday,12,False
2015-03-20,2015,1,3,March,20,4,Friday,12,False
2015-03-21,2015,1,3,March,21,5,Saturday,12,True
2015-03-22,2015,1,3,March,22,6,Sunday,12,True
2015-03-23,2015,1,3,March,23,0,Monday,13,False
2015-03-24,2015,1,3,March,24,1,Tuesday,13,False
2015-03-25,2015,1,3,March,25,2,Wednesday,13,False
2015-03-26,2015,1,3,March,26,3,Thursday,13,False
2015-03-27,2015,1,3,March,27,4,Friday,13,False
2015-03-28,2015,1,3,March,28,5,Saturday,13,True
2015-03-29,2015,1,3,March,29,6,Sunday,13,True
2015-03-30,2015,1,3,March,30,0,Monday,14,False
2015-03-31,2015,1,3,March,31,1,Tuesday,14,False
2015-04-01,2015,2,4,April,1,2,Wednesday,14,False
2015-04-02,2015,2,4,April,2,3,Thursday,14,False
2015-04-03,2015,2,4,April,3,4,Friday,14,False
2015-04-04,2015,2,4,April,4,5,Saturday,14,True
2015-04-05,2015,2,4,April,5,6,Sunday,14,True
2015-04-06,2015,2,4,April,6,0,Monday,15,False
2015-04-07,2015,2,4,April,7,1,Tuesday,15,False
2015-04-08,2015,2,4,April,8,2,Wednesday,15,False
2015-04-09,2015,2,4,April,9,3,Thursday,15,False
2015-04-10,2015,2,4,April,10,4,Friday,15,False
2015-04-11,2015,2,4,April,11,5,Saturday,15,True
2015-04-12,2015,2,4,April,12,6,Sunday,15,True
2015-04-13,2015,2,4,April,13,0,Monday,16,False
2015-04-14,2015,2,4,April,14,1,Tuesday,16,False
2015-04-15,2015,2,4,April,15,2,Wednesday,16,False
2015-04-16,2015,2,4,April,16,3,Thursday,16,False
2015-04-17,2015,2,4,April,17,4,Friday,16,False
2015-04-18,2015,2,4,April,18,5,Saturday,16,True
2015-04-19,2015,2,4,April,19,6,Sunday,16,True
2015-04-20,2015,2,4,April,20,0,Monday,17,False
2015-04-21,2015,2,4,April,21,1,Tuesday,17,False
2015-04-22,2015,2,4,April,22,2,Wednesday,17,False
2015-04-23,2015,2,4,April,23,3,Thursday,17,False
2015-04-24,2015,2,4,April,24,4,Friday,17,False
2015-04-25,2015,2,4,April,25,5,Saturday,17,True
2015-04-26,2015,2,4,April,26,6,Sunday,17,True
2015-04-27,2015,2,4,April,27,0,Monday,18,False
2015-04-28,2015,2,4,April,28,1,Tuesday,18,False
2015-04-29,2015,2,4,April,29,2,Wednesday,18,False
2015-04-30,2015,2,4,April,30,3,Thursday,18,False
2015-05-01,2015,2,5,May,1,4,Friday,18,False
2015-05-02,2015,2,5,May,2,5,Saturday,18,True
2015-05-03,2015,2,5,May,3,6,Sunday,18,True
2015-05-04,2015,2,5,May,4,0,Monday,19,False
2015-05-05,2015,2,5,May,5,1,Tuesday,19,False
2015-05-06,2015,2,5,May,6,2,Wednesday,19,False
2015-05-07,2015,2,5,May,7,3,Thursday,19,False
2015-05-08,2015,2,5,May,8,4,Friday,19,False
2015-05-09,2015,2,5,May,9,5,Saturday,19,True
2015-05-10,2015,2,5,May,10,6,Sunday,19,True
2015-05-11,2015,2,5,May,11,0,Monday,20,False
2015-05-12,2015,2,5,May,12,1,Tuesday,20,False
